provincia,butacas,espacio_incaa,pantallas
Buenos Aires,93112,20,358
Catamarca,3200,1,12
Chaco,2469,1,14
Chubut,2682,4,10
Ciudad Autónoma de Buenos Aires,31386,3,153
Corrientes,3370,1,17
Córdoba,20799,2,105
Entre Ríos,4086,2,17
Formosa,1184,1,4
Jujuy,2277,2,5
La Pampa,2071,2,6
La Rioja,1477,1,10
Mendoza,11116,2,47
Misiones,2177,2,10
Neuquén,3959,3,12
Río Negro,2474,4,10
Salta,4665,2,23
San Juan,4617,2,22
San Luis,2601,0,12
Santa Cruz,1256,2,7
Santa Fe,20131,3,79
Santiago del Estero,2928,1,11
Tierra del Fuego,1445,0,6
Tucumán,5161,2,24
