tipo_agrupacion,descripcion,total
Fuente,CNMLH - Enlace SInCA,1
Fuente,CNMLH - Ente Cultural de Tucumán,1
Fuente,CONABIP,2010
Fuente,DNPyM,1048
Fuente,Dirección Provincial de Patrimonio Cultural - Enlace SInCA,1
Fuente,Dirección de Cultura de Villa Allende,2
Fuente,Dirección de Cultura y de Educación de la Municipalidad de Unquillo,1
Fuente,Gob. Pcia.,1
Fuente,Gobierno de la Provincia,14
Fuente,Gobierno de la Provincia de Chubut / SInCA 2013,3
Fuente,Gobierno de la Provincia de Jujuy,4
Fuente,Gobierno de la Provincia de La Pampa,1
Fuente,Gobierno de la Provincia de La Rioja,1
Fuente,Gobierno de la Provincia de Mendoza,4
Fuente,Gobierno de la Provincia de Neuquén,1
Fuente,Gobierno de la Provincia de Salta,1
Fuente,Gobierno de la Provincia de San Juan,3
Fuente,Gobierno de la provincia,1
Fuente,INCAA / SInCA,329
Fuente,Municipalidad de Puerto Madryn,2
Fuente,Municipalidad de Río Gallegos - Red de Ciudades Creativas,4
Fuente,Municipalidad de Santa Fe - Red de Ciudades Creativas,37
Fuente,RCC,10
Fuente,RCC- Córdoba,31
Fuente,Red de Espacios Culturales Vicente López,4
Fuente,SInCA,1
Fuente,Secretaria de Cultura Provincial,6
Fuente,Secretaria de Cultura del Municipio de Esteban Echeverría,1
Fuente,UNLA,1
Fuente,Área Gestión Cultural de la Municipalidad de Colonia Caroya,4
Categoría,Bibliotecas Populares,2017
Categoría,Espacios de Exhibición Patrimonial,1182
Categoría,Salas de cine,329
Provincia y Categoría,Buenos Aires - Bibliotecas Populares,543
Provincia y Categoría,Buenos Aires - Espacios de Exhibición Patrimonial,152
Provincia y Categoría,Buenos Aires - Salas de cine,106
Provincia y Categoría,Catamarca - Bibliotecas Populares,38
Provincia y Categoría,Catamarca - Espacios de Exhibición Patrimonial,32
Provincia y Categoría,Catamarca - Salas de cine,4
Provincia y Categoría,Chaco - Bibliotecas Populares,70
